bloc,hassaniya_ar,hassaniya_norm,pulaar,english,sentiment,nuance
tweets,مشيت شور كالجاري مع شي من الشباب (عاد فرص على غاسبور يگعد في صندوق الوته)لتخراص فليمز ضد لوس أنجلوس كينغز . فاز كالجاري بنتيجة ٤-١ . ليلة زينة,مشيت شور كالجاري مع شي من الشباب (عاد فرص علي غاسبور يگعد في صندوق الوته)لتخراص فليمز ضد لوس انجلوس كينغز . فاز كالجاري بنتيجه ٤-١ . ليله زينه,Mido yahi Calgary miin e sukaabe ɓee (Gaspar foti ko jooɗade e boot oo) mbele mi yiyii Flames ina fiji e LA Kings. Calgary heɓi 4-1. Jamma lobbo,Went to Calgary with some of the lads (Gaspar had to sit in the boot  ) to watch the Flames versus LA Kings. Calgary won 4-1. Nice night.,positif,non
tweets,ههه انت تمشي شور كافاليرز.اورلاندو عندو كاملين,هه انت تمشي شور كافاليرز.اورلاندو عندو كاملين,@batistini21 (jalnii) a fotti e cavs. Orlando pooli ɓe hannde ndee,@batistini21 lols you go for the cavs. orlando owned them today,negatif,non
tweets,"ملاحظة: بردوه دورك تحاول بث برنامج ""كوغار تاون"" دوليا انا برازيلي يغير من اشد المعجبين","ملاحظه: بردوه دورك تحاول بث برنامج ""كوغار تاون"" دوليا انا برازيلي يغير من اشد المعجبين",@CCArquette ps. mbele a waawaa yiyde mbele Cougar Town ina yaari e winndere ndee fof!!! Ko mi braasiliyen kono mido yiɗi golle maa sanne!,@CCArquette ps. please try to see if you get Cougar Town to be broadcast internationally!!! im brazilian but such a great fan of yours!,positif,non
tweets,انا نبقي تايلور سويفت، بهلي ماهي معقولة و غناها زين و تخليني فرحانة حته,انا نبقي تايلور سويفت، بهلي ماهي معقوله و غناها زين و تخليني فرحانه حته,Mido yiɗi Taylor Swift sanne. O woodi golle kadi guwer makko ina weltina mi sanne,I L&lt;3VE Taylor Swift.She is just so amazing and her music is wonderfull and makes me so happy.,positif,non
tweets,اشبه جزء من اغنية نعدلها انا و مادي ، حسها زين ، و نحس عني محترف .بدي . ههه,اشبه جزء من اغنيه نعدلها انا و مادي ، حسها زين ، و نحس عني محترف .بدي . هه,"Mido fitta feccere e yimre nde miin e Maddy mbaɗata. Ina rewi no feewi. Mido sike mido gollata no feewi. Alaa, (jalnii)",Fine-tuning part of a song Maddy and I r making.  Sounding good. I feel pro. Not. Hahaha,neutre,non
tweets,جرات تورزيمو على PSP!FF13 على الحاسوب ! شنه شدور اكثر من ذلك ؟! جران توريدمو 5 على الحاسوب ، گد عود ؟,جرات تورزيمو علي PSP!FF13 علي الحاسوب ! شنه شدور اكثر من ذلك ؟! جران توريدمو 5 علي الحاسوب ، گد عود ؟,Gran Turismo e PSP! FF13 e PC! Hol ko mbur-mi landade kadi?! Mbele Gran Turismo 5 e PC kadi?,Gran Turismo on PSP! FF13 to be on PC! What more can I ask for?! Gran Turismo 5 on PC perhaps?,positif,non
tweets,اعطيني شي من الوقت و دور جي معاك شور لندن!هاها ، حظا سعيدا مع ذاك!,اعطيني شي من الوقت و دور جي معاك شور لندن!هاها ، حظا سعيدا مع ذاك!,@dornx hokka mi waktu mi yaha e maa to London! haha. yo Allah semmbin maa e ɗum!,@dornx give me time and ill come with you sa london! haha. good luck with that!,positif,non
tweets,"نسهر اعل بيولوجي ايل الرابعه امعصباح, واو!","نسهر اعل بيولوجي ايل الرابعه امعصباح, واو!","Mido jannga biology haa waktuuji 4 subaka, woo!",hanging out with biology til 4am woo  !,positif,non
tweets,صباح الخير يتوتا ؟ لوميا!,صباح الخير يتوتا ؟ لوميا!,"Subaka lobbo, e winndere ndee fof!","Happy Morning, la toat? lumea!",positif,non
tweets,نخرص برنامج اوبرا الي سجلت سابگ ذ ! كان عن تويتر اليوم!,نخرص برنامج اوبرا الي سجلت سابگ ذ ! كان عن تويتر اليوم!,Mido ndarra Oprah mbo mi nattatnoo kadi! Hannde ko e Twitter ngollata!,Watching Oprah that I had taped from earlier! It's was about Twitter today!,positif,non
tweets,كريسيت ميشيل جات ظرك على الآيبود . هي  رازنة حته .,كريسيت ميشيل جات ظرك علي الايبود . هي رازنه حته .,Chrisette Michelle fuɗɗiima e iPod am. Yimre makko ina deeyi sanne,Chrisette Michelle just came on the ipod . she's so mellow,positif,non
tweets,ليكرز! گايسين النهائيات !وي!,ليكرز! گايسين النهائيات !وي!,Lakers! En njaahi to final!! Weee!,Lakers! Going to the finals!! Weee!,positif,non
tweets,نگصص راسي و نرد مع خويه و نخرص آخر لخبار عن إيران و مباراة البيسبول. ياربي،نعشق تلفوني الآيفوون!,نگصص راسي و نرد مع خويه و نخرص اخر لخبار عن ايران و مباراه البيسبول. ياربي،نعشق تلفوني الايفوون!,"Mido laɓaa hoore am mido winndita miin e miñi am gorko, mido heɓa kabaruuji Iran e fijirde baseball ndee. Allah am, mido yiɗi iPhone am!","Getting my hair cut while texting with my brother and getting updates about Iran  &amp; the baseball game. God, I love my iPhone!",positif,non
tweets,دور منك عنك تخرص ذلي يخرص هو على تويتر. شي من المنظمات لمعيدلة حته,دور منك عنك تخرص ذلي يخرص هو علي تويتر. شي من المنظمات لمعيدله حته,@ILUVNKOTB o yiɗi a rewa e ɓe o rewi e Twitter. Feddeji lobbi sanne,@ILUVNKOTB he wants u to follow who he follows on twitter. some very nice organizations,positif,non
tweets,انت معيدل حته تحية كبييرة لك,انت معيدل حته تحيه كبييره لك,"@dmf71 a woodi sifaaji lobbi, mido salmina maa sanne!!!!!!!",@dmf71 rrrrrr you so very sweet a big hi to you!!!!!!!,positif,non
tweets,سياتل زينه حته . خظرة حته تذكرني بألمانيا,سياتل زينه حته . خظره حته تذكرني بالمانيا,"@scrambledeggos Seattle ina woodi sanne. No fof woni heso, ina miccintini mi leydi Allemagne",@scrambledeggos Seattle is very nice. So green it reminds me of Germany,positif,non
tweets,أغنية رائعة @Sharpatoulas: &quot;أفضل أغاني سياتل&quot; ♫ http://blip.fm/~7mki1,اغنيه رائعه @Sharpatoulas: &quot;افضل اغاني سياتل&quot; ♫ http://blip.fm/~7mki1,"Yimre lobbo @Sharpatoulas: ""seattle's best"" ♫ http://blip.fm/~7mki1",great song  @Sharpatoulas: &quot;seattle's best&quot; ♫ http://blip.fm/~7mki1,positif,non
tweets,تايلور سويفت انا شاك  عنك شبيبة حته لدرجة عنها تخلي گلبي يذوب في كل مرة شوف وجهك,تايلور سويفت انا شاك عنك شبيبه حته لدرجه عنها تخلي گلبي يذوب في كل مره شوف وجهك,"@taylorswift13 Taylor Swift, mido sikki a woodi sifa no feewi, kala nde mbernde am yiyi yeeso maa ina rewi",@taylorswift13 Taylor Swift I think you're so pretty it makes my heart melt everytime I see your face.,positif,non
tweets,ستاربكس و الصوت . بداية زينه للنهار,ستاربكس و الصوت . بدايه زينه للنهار,Starbucks e ɓesngu naange. Fuɗɗoode lobbo hannde,starbucks &amp; tanning. good start for today,positif,non
tweets,نحن سعيدين حته برجوعك شور ولاية تار هيل ، حتى لعدتي في بلد الشيطان لي سيگة,نحن سعيدين حته برجوعك شور ولايه تار هيل ، حتي لعدتي في بلد الشيطان لي سيگه,"@Oprah Mido mbeltoo no ngartu-ɗaa e Tarheel State, hay sinesu a woodi e leydi Blue Devil","@Oprah We are so happy to have you back in the Tarheel State, even if you are in Blue Devil country",positif,non
tweets,گريب حته ، لندن يا حبيبتي ! ملي الإمارات يوم الأحد! زين ! متحمسه حته…,گريب حته ، لندن يا حبيبتي ! ملي الامارات يوم الاحد! زين ! متحمسه حته..,"Heddani tiiɗde haa London, jooni jooni!!! kadi Emirates ñalnde alhad!!!! Eyyo!! Mi waawaa habbade...",Not long till LONDON BABY!!!  and then the EMIRATES ON SUNDAY!!!!  YEAH!! cant wait...,positif,non
tweets,رجعت من البرازيل سبوع الماضي ، و الجماعة كاملة لهيه لباس عليها . ايوه نحن هون بكل قوتنا نستعد لمجي ولدنا.,رجعت من البرازيل سبوع الماضي ، و الجماعه كامله لهيه لباس عليها . ايوه نحن هون بكل قوتنا نستعد لمجي ولدنا.,"Mido hooti gila Brazil yontere yawtunde, kadi fof ina e jam. Do en ngonni e golle mbele en ngaddata suka gorko men oo","I got back from Brazil last week, and everyone there is good. Here we are in full force preparing for the arrival of our boy",positif,non
tweets,انا لباس علِيَّ، ههه نحس عني واعية,انا لباس علي، هه نحس عني واعيه,"@MissSydneyJ Mido e jam, (jalnii)... Mido faami jooni","@MissSydneyJ Im good, lol... I feel awake",positif,non
tweets,عدلوها الليكرز هههه ذ هو لي مقلي علي لوس انجلوس,عدلوها الليكرز هه ذ هو لي مقلي علي لوس انجلوس,Lakers heɓi kadi... hahaah ko ɗum waɗi mido yiɗi LA,The Lakers got it..  hahaah this is why i love LA,positif,non
tweets,فاجأني بيرس اليوم بحوتين من كوي ! هو اشبه واحد ! انا ذكرت عن يجدد برتماهُ كامل؟ انا ممتنة حته بوجود في حياتي!,فاجاني بيرس اليوم بحوتين من كوي ! هو اشبه واحد ! انا ذكرت عن يجدد برتماه كامل؟ انا ممتنه حته بوجود في حياتي!,Pierce addani mi hannde liɗɗi koi ɗiɗi! Ko kanko woni mbur-ɗo! Mbe mi wiytata kanko ina banna suudu ndee fof? Mido yettata Allah no o woni e nguurndam am!,pierce surprised me w/ 2 koi fish today! he's the best!!!  did i mention he's remodeling the whole apt?i'm so grateful for him in my life!,positif,non
tweets,مزلت واعية نلعب كارت مع الطافيلات,مزلت واعيه نلعب كارت مع الطافيلات,Mi ummiima taon. Mido fiji cartes miin e sukaabe rewbe ɓee.,Still up. Playin cards with the girls.,neutre,non
tweets,"فوت نهار ماهو معقول مع ازين صحابي ! نخرص فيلم ""كبرياء و تحامل""، و نتناول طعام ماكدونالدز ، و نصور فيديوهات تظحك","فوت نهار ماهو معقول مع ازين صحابي ! نخرص فيلم ""كبرياء و تحامل""، و نتناول طعام ماكدونالدز ، و نصور فيديوهات تظحك","Mido danyi ñalngu lobbo miin e sehil am mbo mbur-mi yiɗde!! En ndarri ""Pride and Prejudice"", en ñaami McDonalds kadi en natti videoji jalniiɗi","I have a great fun day with my best friend!! Watch pride and prejudice, eat mcdonalds and taking funny videos",positif,non
tweets,هذا كان عرضي / مسلسلي المفضل محدي صغير!,هذا كان عرضي / مسلسلي المفضل محدي صغير!,@nicolerichie ɗum wonnoo show mbo mbur-mi yiɗde nde ngon-mi suka!,@nicolerichie that was my favorite show/series when i was little!,positif,non
tweets,اشبه فيك يا بيكا،تمونكي برگاد جيد.,اشبه فيك يا بيكا،تمونكي برگاد جيد.,"@beycah No woodi e maa Becca, yo Allah hokka maa ɗanngal lobbal.","@beycah Good for you Becca, have a good sleep.",positif,non
tweets,يا ليكرز! انا متحمس حته ظرك ، ياله كافاليرز يگفلوا لبيبان كاملين گدامهم لتحقيق اشبه نهائي إگد يصح,يا ليكرز! انا متحمس حته ظرك ، ياله كافاليرز يگفلوا لبيبان كاملين گدامهم لتحقيق اشبه نهائي اگد يصح,Eyyo Lakers!!!!!! Mido seymitoo sanne!!! Jooni cavs foti ko pooli magic mbele final oo ina woodi no feewi!!,Yeah Lakers!!!!!! I am so stinkin' excited!!! Now the cavs need to shut the magic out for the best finals possible!!,positif,non
tweets,وهاي يا ليكرز! صباح الخير!,وهاي يا ليكرز! صباح الخير!,@seodubai Njahee #Lakers njahee! Subaka lobbo!,@seodubai Go #Lakers go!  Good morning!,positif,non
tweets,لا تنساي ياعزيزتي ، لاهي تمي دايما فبالي و گلبي  ، ايوه  ؟  حبة كبيرة و مودة خاصة مني (البرازيل) !نبقيك!,لا تنساي ياعزيزتي ، لاهي تمي دايما فبالي و گلبي ، ايوه ؟ حبه كبيره و موده خاصه مني (البرازيل) !نبقيك!,"@nick_carter Wataa jiggito sehil am, a woodi e hakkille am e mbernde am kala sahaa, eyy? Mido bama maa, gila leydi Brazil! Mido yiɗi maa!","@nick_carter Don't forget my dear, you'll always be in my mind and my heart ok?  BIG kiss and special affection from me (Brazil)! I ? u!",positif,non
